Código do alimento,Descrição do alimento,Código da preparação,Descrição da preparação,Energia (kcal),Proteína (g),Lipídios totais (g),Carboidrato (g),Fibra alimentar total (g),Colesterol (mg),AG Saturados (g),AG Mono (g),AG Poli (g),AG Linoléico (g),AG Linolênico (g),AG Trans total(g),Açúcar total (g),Açúcar de adição (g),Cálcio (mg),Magnésio (mg),Manganês (mg),Fósforo (mg),Ferro (mg),Sódio (mg),Sódio de adição (mg),Potássio (mg),Cobre (mg),Zinco (mg),Selênio (mcg),Retinol (mcg),Vitamina A (RAE) (mcg),Tiamina (mg),Riboflavina (mg),Niacina (mg),Niacina (NE) (mg),Piridoxina (mg),Cobalamina (mcg),Folato (DFE) (mcg),Vitamina D (mcg),Vitamina E (mg),Vitamina C (mg),Grupo Alimentar
6300101,"Arroz (polido, parboilizado, agulha, agulhinha, etc.)",99.0,Não se aplica,135.6229457071333,2.4961126633333333,1.200042,27.784863469999994,1.5457021999999998,-,0.3506652,0.2221954,0.5631178,0.5563308,0.0662088,0.005194,-,-,3.509598866666667,2.2312506666666665,0.2937593333333333,17.769139,0.07640533333333333,1.188900133333333,382,14.529864733333334,0.014852999999999998,0.48661626666666663,0.4469682,-,-,-,-,-,-,-,-,-,-,0.0797818,-,1
6300201,Arroz integral,99.0,Não se aplica,130.9456437535,2.56288515,1.9657966666666666,25.55681445,2.722389866666667,-,0.4496852,0.6182753999999999,0.8601778,0.8038808,0.07611079999999999,0.005194,-,-,5.153000799999999,58.126720399999996,0.6211854666666666,104.81564060000001,0.2599224,1.2324689333333332,282,74.41518033333332,0.020134066666666665,0.6760745333333333,0.4469682,-,-,0.079216,-,-,-,0.079216,-,-,-,0.0797818,-,1
6300701,Milho (em grão),1.0,Cru(a),160.141,3.32,7.178,25.11,4.25,-,1.12,1.718,4.009,3.591,0.418,0.031,3.16,-,3.152,26.006,0.159,75,0.445,244.964,245,212.051,0.047,0.611,2.904,-,13.167,0.215,0.072,1.614,1.997,0.06,-,46,-,0.572,6.2,1
6300701,Milho (em grão),2.0,Cozido(a),160.141,3.32,7.178,25.11,4.25,-,1.12,1.718,4.009,3.591,0.418,0.031,3.16,-,3.152,26.006,0.159,75,0.445,244.964,245,212.051,0.047,0.611,2.904,-,13.167,0.215,0.072,1.614,1.997,0.06,-,46,-,0.572,6.2,1
6300701,Milho (em grão),3.0,Grelhado(a)/brasa/churrasco,160.141,3.32,7.178,25.11,4.25,-,1.12,1.718,4.009,3.591,0.418,0.031,3.16,-,3.152,26.006,0.159,75,0.445,244.964,245,212.051,0.047,0.611,2.904,-,13.167,0.215,0.072,1.614,1.997,0.06,-,46,-,0.572,6.2,1
6300701,Milho (em grão),4.0,Assado(a),160.141,3.32,7.178,25.11,4.25,-,1.12,1.718,4.009,3.591,0.418,0.031,3.16,-,3.152,26.006,0.159,75,0.445,244.964,245,212.051,0.047,0.611,2.904,-,13.167,0.215,0.072,1.614,1.997,0.06,-,46,-,0.572,6.2,1
6300701,Milho (em grão),7.0,Refogado(a),160.141,3.32,7.178,25.11,4.25,-,1.12,1.718,4.009,3.591,0.418,0.031,3.16,-,3,26,0.158,75,0.443,-,245,212,0.047,0.611,2.903,-,13.167,0.215,0.072,1.614,1.997,0.06,-,46,-,0.572,6.2,1
6300701,Milho (em grão),13.0,Ensopado,160.141,3.32,7.178,25.11,4.25,-,1.12,1.718,4.009,3.591,0.418,0.031,3.16,-,3,26,0.158,75,0.443,-,245,212,0.047,0.611,2.903,-,13.167,0.215,0.072,1.614,1.997,0.06,-,46,-,0.572,6.2,1
6300701,Milho (em grão),99.0,Não se aplica,160.141,3.32,7.178,25.11,4.25,-,1.12,1.718,4.009,3.591,0.418,0.031,3.16,-,3.152,26.006,0.159,75,0.445,244.964,245,212.051,0.047,0.611,2.904,-,13.167,0.215,0.072,1.614,1.997,0.06,-,46,-,0.572,6.2,1
6300706,Canjiquinha de milho em grão,1.0,Cru(a),79.68,1.237,2.198,13.503,0.672,-,0.329,0.49,1.218,1.086,0.132,0.01,0.285,-,3.451,6.928,0.031,17.913,0.739,131.499,126,25.957,0.023,0.131,2.847,-,1.827,0.105,0.071,0.906,1.017,0.034,-,20.813,-,0.182,-,1
6300706,Canjiquinha de milho em grão,2.0,Cozido(a),62.952,1.237,0.305,13.503,0.672,-,0.033,0.059,0.125,0.122,0.003,-,0.285,-,3.373,6.925,0.031,17.913,0.737,5.009,126,25.931,0.023,0.131,1.979,-,1.827,0.105,0.071,0.906,1.017,0.034,-,20.813,-,0.027,-,1
6300706,Canjiquinha de milho em grão,13.0,Ensopado,79.68,1.237,2.198,13.503,0.672,-,0.329,0.49,1.218,1.086,0.132,0.01,0.285,-,3.373,6.925,0.031,17.913,0.738,5.009,126,25.931,0.023,0.131,2.846,-,1.827,0.105,0.071,0.906,1.017,0.034,-,20.813,-,0.182,-,1
